,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Richmond,US,67.98,overcast clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
485,Tabora,TZ,75.9,overcast clouds,-5.0167,32.8,Barcelona Lodge
488,Puerto Ayacucho,VE,76.46,light rain,5.6639,-67.6236,Posada Turistica Manapiare
489,Huangmei,CN,61.14,clear sky,30.1924,116.025,Tianxiachan Hotel
490,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
491,Padang,ID,76.12,light rain,-0.9492,100.3543,Mercure Padang
494,Junagarh,IN,72.27,clear sky,19.8667,82.9333,Hotel Swagat
495,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
498,Tabriz,IR,62.06,scattered clouds,38.08,46.2919,Sina Hotel
503,Touros,BR,77.65,clear sky,-5.1989,-35.4608,INN NEW HORIZON
505,Morropon,PE,85.71,broken clouds,-5.1822,-79.9689,panaderia jeffeson
506,Annamalainagar,IN,77.85,broken clouds,11.4,79.7333,Hotel Akshaya
507,Kulhudhuffushi,MV,80.31,overcast clouds,6.6221,73.07,Haajy Guest House 1
509,Dumai,ID,73.04,light rain,1.6833,101.45,Grand Zuri Dumai
510,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
512,Rincon,US,77.95,clear sky,32.296,-81.2354,Days Inn Rincon
513,Gao,ML,86.34,few clouds,16.6362,1.637,
514,Nalut,LY,71.6,few clouds,30.3333,10.85,
515,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
517,Veraval,IN,78.64,broken clouds,20.9,70.3667,Lords Inn Somnath
519,Chauk,MM,76.68,overcast clouds,20.8833,94.8167,Bo Khin Guest House
520,Hamada,JP,66.11,broken clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
521,Lockhart,US,85.93,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
524,Westport,US,64.38,clear sky,41.1415,-73.3579,The Westport Inn
