,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Dikson,RU,73.5069,80.5464,28.15,94,100,8.32,overcast clouds
81,Tromso,NO,69.6496,18.957,38.37,100,20,2.3,few clouds
82,Cape Town,ZA,-33.9258,18.4232,66.11,87,0,5.01,clear sky
83,Verkhniy Mamon,RU,50.1635,40.3832,39.7,69,0,4.63,clear sky
84,Cardoso,BR,-20.0819,-49.9142,86.74,31,70,1.41,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,51.93,66,95,1.01,overcast clouds
86,Bajram Curri,AL,42.3554,20.0784,56.3,76,21,3.67,few clouds
87,Iqaluit,CA,63.7506,-68.5145,37.13,100,75,20.71,mist
88,Matara,LK,5.9485,80.5353,75.72,88,99,4.47,moderate rain
89,Stanghelle,NO,60.5528,5.7357,50.63,96,92,5.23,light rain
90,Namibe,AO,-15.1961,12.1522,68.52,85,80,4.32,broken clouds
91,Ponta Do Sol,PT,32.6667,-17.1,72.23,76,51,2.44,broken clouds
92,Mahebourg,MU,-20.4081,57.7,71.89,83,40,8.05,scattered clouds
93,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,1.01,overcast clouds
94,Poyarkovo,RU,49.6,128.6833,36.03,80,100,14.25,overcast clouds
95,Makiyivka,UA,48.0478,37.9258,44.2,55,6,7.61,clear sky
96,Gubbio,IT,43.3545,12.5725,58.51,85,96,1.74,overcast clouds
97,Khatanga,RU,71.9667,102.5,15.42,96,100,7.7,overcast clouds
98,East London,ZA,-33.0153,27.9116,66.22,91,100,13.58,overcast clouds
99,Natchitoches,US,31.7668,-93.1335,81.45,61,0,0.0,clear sky
100,Barrow,US,71.2906,-156.7887,30.22,80,100,23.02,overcast clouds
101,Davila,PH,18.4726,120.5763,76.98,79,100,11.3,overcast clouds
102,Churachandpur,IN,24.3333,93.6667,62.47,99,12,0.4,few clouds
103,Tuatapere,NZ,-46.1333,167.6833,53.85,53,70,2.57,broken clouds
104,Paragominas,BR,-2.9667,-47.4833,76.82,80,90,3.78,overcast clouds
105,Cherskiy,RU,68.75,161.3,1.42,98,94,6.6,overcast clouds
106,Itoman,JP,26.1247,127.6694,81.37,79,75,9.22,light rain
107,Butaritari,KI,3.0707,172.7902,81.55,70,72,16.49,broken clouds
108,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,19,6.33,few clouds
109,Lebu,CL,-37.6167,-73.65,53.06,87,73,14.43,broken clouds
110,Hobart,AU,-42.8794,147.3294,53.06,71,75,9.22,broken clouds
111,Coahuayana,MX,18.7333,-103.6833,86.02,71,88,4.7,overcast clouds
112,Iquique,CL,-20.2208,-70.1431,60.84,69,30,5.03,scattered clouds
113,Turochak,RU,52.2576,87.1224,44.85,63,100,2.1,overcast clouds
114,Clyde River,CA,70.4692,-68.5914,34.03,80,75,16.11,broken clouds
115,Svetlaya,RU,46.5389,138.3297,45.7,68,100,5.06,overcast clouds
116,Sal Rei,CV,16.1833,-22.9167,76.77,75,27,13.38,scattered clouds
117,Teguldet,RU,57.3064,88.1667,34.97,82,93,3.62,overcast clouds
118,Carnarvon,AU,-24.8667,113.6333,63.57,64,24,18.39,few clouds
119,Severo-Kurilsk,RU,50.6789,156.125,44.58,67,100,9.46,overcast clouds
120,Pachino,IT,36.7186,15.0907,68.99,71,37,1.05,scattered clouds
121,Saldanha,ZA,-33.0117,17.9442,60.84,90,0,4.41,clear sky
122,Fukue,JP,32.6881,128.8419,70.09,69,100,13.02,overcast clouds
123,Beringovskiy,RU,63.05,179.3167,24.76,69,99,15.77,overcast clouds
124,College,US,64.8569,-147.8028,40.98,71,20,4.61,few clouds
125,Provideniya,RU,64.3833,-173.3,30.36,74,100,20.13,overcast clouds
126,Georgetown,MY,5.4112,100.3354,76.95,90,20,2.3,few clouds
127,Sabang,ID,5.8933,95.3214,80.87,76,100,19.84,overcast clouds
128,Baykit,RU,61.67,96.37,29.34,81,100,2.62,overcast clouds
129,Torbay,CA,47.6666,-52.7314,53.58,87,100,14.97,overcast clouds
130,Samarai,PG,-10.6167,150.6667,81.45,80,51,11.32,broken clouds
131,Abu Dhabi,AE,24.4667,54.3667,86.02,74,0,4.61,clear sky
132,Corvallis,US,44.5646,-123.262,76.1,52,0,6.91,clear sky
133,Bluff,NZ,-46.6,168.3333,56.8,63,79,15.21,broken clouds
134,Poronaysk,RU,49.2167,143.1167,44.56,62,100,8.7,overcast clouds
135,Smidovich,RU,48.6,133.8167,36.45,72,95,5.44,overcast clouds
136,Tazovskiy,RU,67.4667,78.7,33.35,99,100,4.05,overcast clouds
137,Vestmannaeyjar,IS,63.4427,-20.2734,40.17,70,15,12.91,few clouds
138,Port Elizabeth,ZA,-33.918,25.5701,70.11,95,100,2.3,overcast clouds
139,Sarankhola,BD,22.3082,89.7897,71.42,81,65,4.54,broken clouds
140,La Reforma,MX,25.0833,-108.05,83.5,57,11,10.65,few clouds
141,Malakal,SS,9.5334,31.6605,72.61,92,100,2.55,light rain
142,Ardakan,IR,32.31,54.0175,71.76,15,0,4.16,clear sky
143,Fort Nelson,CA,58.8053,-122.7002,47.79,43,20,0.0,few clouds
144,Hofn,IS,64.2539,-15.2082,42.49,80,6,19.46,clear sky
145,Kruisfontein,ZA,-34.0033,24.7314,68.88,68,99,6.55,overcast clouds
146,Borovoy,RU,55.4333,86.0833,42.08,56,0,6.71,clear sky
147,Esperance,AU,-33.8667,121.9,58.19,80,100,20.49,light rain
148,Thompson,CA,55.7435,-97.8558,30.36,55,20,10.36,few clouds
149,Coihaique,CL,-45.5752,-72.0662,70.41,35,20,6.91,few clouds
150,Longyearbyen,SJ,78.2186,15.6401,22.84,80,0,11.5,clear sky
151,Kapaa,US,22.0752,-159.319,84.52,62,20,12.66,few clouds
152,Asau,RO,46.4333,26.4,34.72,76,5,2.89,clear sky
153,Madingou,CG,-4.1536,13.55,76.21,87,17,2.68,light rain
154,Tonj,SS,7.2737,28.6822,68.94,95,100,6.64,overcast clouds
155,Tambau,BR,-21.705,-47.2744,79.47,51,88,2.89,overcast clouds
156,Mindelo,CV,16.8901,-24.9804,76.55,69,20,11.5,few clouds
157,Luderitz,NA,-26.6481,15.1594,59.94,85,0,8.23,clear sky
158,Cururupu,BR,-1.8283,-44.8683,77.23,83,37,4.14,scattered clouds
159,Nanortalik,GL,60.1432,-45.2371,35.37,74,3,10.04,clear sky
160,Srednekolymsk,RU,67.45,153.6833,-0.74,98,35,2.84,scattered clouds
161,Celestun,MX,20.8667,-90.4,83.68,76,38,14.18,scattered clouds
162,Mitchell,US,43.7094,-98.0298,48.18,35,0,16.11,clear sky
163,Bengkulu,ID,-3.8004,102.2655,75.16,89,100,2.93,overcast clouds
164,Lira,UG,2.235,32.9097,63.28,97,100,4.54,moderate rain
165,Souillac,MU,-20.5167,57.5167,71.98,83,40,8.05,scattered clouds
166,Kodiak,US,57.79,-152.4072,51.31,71,100,10.36,overcast clouds
167,Rawson,AR,-43.3002,-65.1023,49.71,80,47,13.58,scattered clouds
168,Eyl,SO,7.9803,49.8164,77.81,85,41,8.25,light rain
169,Cabo San Lucas,MX,22.8909,-109.9124,87.1,51,20,13.8,few clouds
170,Yaan,NG,7.3833,8.5667,74.95,81,92,4.92,overcast clouds
171,Muriwai Beach,NZ,-36.8167,174.45,66.96,64,46,10.69,scattered clouds
172,Hami,CN,42.8,93.45,51.85,25,1,1.57,clear sky
173,Barra Velha,BR,-26.6322,-48.6847,75.09,96,72,3.33,broken clouds
174,Puerto Madryn,AR,-42.7692,-65.0385,52.9,71,60,15.5,broken clouds
175,Paamiut,GL,61.994,-49.6678,36.14,72,100,11.3,overcast clouds
176,Camacha,PT,33.0833,-16.3333,65.62,77,20,2.3,few clouds
177,Krasnovishersk,RU,60.4078,57.082,41.0,97,100,2.89,light rain
178,Clarence Town,AU,-32.5833,151.7833,66.94,91,83,4.81,broken clouds
179,Lagoa,PT,39.05,-27.9833,65.79,64,51,25.05,light rain
180,San Juan,AR,-31.5375,-68.5364,80.02,14,7,6.64,clear sky
181,Faanui,PF,-16.4833,-151.75,78.89,67,10,14.76,clear sky
182,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,8.05,scattered clouds
183,Hede,CN,33.7681,120.2517,59.18,52,22,15.61,few clouds
184,Beloha,MG,-25.1667,45.05,65.8,90,7,4.65,clear sky
185,Acarau,BR,-2.8856,-40.12,79.54,76,1,20.13,clear sky
186,Pangnirtung,CA,66.1451,-65.7125,42.66,95,100,7.87,light rain
187,Surman,LY,32.7567,12.5716,73.69,66,86,8.79,overcast clouds
